tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu
Casa,Jardim São Lourenço,Rua dos Gusmões,182.0,2,1,2.0,3000,,
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,87.0,3,1,2.0,3000,435.0,187.0
Apartamento,Centro,Avenida Afonso Pena,372.0,4,6,2.0,3000,1965.0,617.0
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,78.0,3,2,1.0,3000,364.0,156.0
Casa,Jardim Colibrí,Rua João Trivellato,110.0,3,3,3.0,3000,,
Casa,Pioneiros,Rua Ana Luiza de Souza,200.0,1,1,4.0,3000,,
Apartamento,Jardim dos Estados,Avenida Afonso Pena,34.0,1,1,1.0,3000,750.0,150.0
Casa,Vila Ravenna,Rua Messina,100.0,2,1,3.0,3000,,
Casa,Residencial Maria Neves,Rua Glauco Assis Monteiro,127.0,3,4,2.0,3036,,150.0
Apartamento,Centro,Rua Rui Barbosa,69.0,3,2,1.0,3100,470.0,260.0
Casa,Amambaí,Rua Saldanha Marinho,242.0,5,3,4.0,3100,,388.0
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,65.0,3,2,2.0,3200,320.0,156.0
Apartamento,Sobrinho,Rua Américo Marques,91.0,1,1,,3200,,
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,64.0,3,1,,3200,290.0,160.0
Casa,Monte Castelo,Rua Antonina de Castro Faria,100.0,2,3,1.0,3200,,
Casa,Monte Castelo,,79.0,3,2,,3200,493.0,260.0
Casa,Jardim Tijuca,Rua Manoel Zanin,215.0,4,3,3.0,3200,,203.0
Apartamento,Centro,Rua Rui Barbosa,70.0,2,2,,3200,540.0,400.0
Casa,Jardim Mansur,Rua Amélia Tognini,117.0,3,3,2.0,3200,,
Casa,Vila Carvalho,Rua Marco Pólo,170.0,3,5,1.0,3300,457.0,310.0
Apartamento,Residencial Sóter,Rua Antônio Rahe,54.0,2,1,1.0,3470,,
Casa,São Francisco,Rua Sacramento,178.0,3,1,2.0,3500,,
Casa,Tiradentes,Rua da Planície,220.0,3,3,7.0,3500,,
Apartamento,Itanhangá Park,Rua Nova Era,77.0,2,2,1.0,3500,536.0,382.0
Apartamento,Monte Castelo,Rua Júlio Dittmar,104.0,2,3,2.0,3500,720.0,503.0
Apartamento,Mata do Jacinto,Rua Afro Puga,67.0,3,2,1.0,3500,475.0,199.0
Casa,Vila Ipiranga,Rua das Guianas,148.0,4,3,2.0,3500,,
Apartamento,Tiradentes,Alameda do Ipê Amarelo,79.0,2,1,1.0,3500,603.0,323.0
Casa,Tiradentes,Rua do Nilo,151.0,4,2,4.0,3500,,
Apartamento,Vila Albuquerque,Rua Doutor Werneck,77.0,2,2,1.0,3500,,
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,60.0,2,1,,3500,,
Casa,Vila Taveirópolis,Avenida Tiradentes,133.0,6,3,3.0,3500,,352.0
Casa,Chácara Cachoeira,Rua Doutor Michel Scaff,118.0,3,4,1.0,3500,210.0,291.0
Casa,Jardim Montevidéu,,137.0,2,2,2.0,3500,,200.0
Apartamento,Tiradentes,Alameda do Ipê Amarelo,70.0,3,2,2.0,3500,607.0,359.0
Casa,Carandá Bosque,Rua Luzia de Castro Coimbra,200.0,2,1,,3600,,350.0
Apartamento,São Francisco,Rua Quatorze de Julho,45.0,2,1,,3600,,
Apartamento,Centro,Rua Rui Barbosa,65.0,1,1,1.0,3600,,
Apartamento,Monte Castelo,Rua Júlio Dittmar,167.0,2,3,2.0,3600,720.0,503.0
Apartamento,Amambaí,Rua Dom Aquino,168.0,3,2,1.0,3600,,
Casa,Vila Nascente,Rua José Joaquim da Silva,220.0,3,5,2.0,3700,,
Apartamento,Jardim dos Estados,Avenida Afonso Pena,49.0,1,1,1.0,3750,850.0,300.0
Apartamento,Jardim dos Estados,Avenida Afonso Pena,35.0,1,1,1.0,3750,,
Apartamento,Parque dos Poderes,Avenida Poeta Manoel de Barros,113.0,2,2,2.0,3800,,
Apartamento,Jardim dos Estados,Avenida Afonso Pena,35.0,1,1,1.0,3800,,
Apartamento,Jardim dos Estados,Avenida Afonso Pena,35.0,1,1,1.0,3800,,
Apartamento,Centro,Avenida Mato Grosso,109.0,3,2,2.0,3800,837.0,369.0
Apartamento,Tiradentes,,87.0,2,2,1.0,3900,565.0,364.0
Casa,Vila Vilas Boas,Rua Nicomedes Vieira de Rezende,164.0,3,2,4.0,3900,,
Apartamento,Jardim dos Estados,Avenida Afonso Pena,35.0,1,1,1.0,3900,,
Casa,Vila Taveirópolis,Rua Rodolfo Andrade Pinho,280.0,6,4,4.0,3900,,410.0
Casa,Cabreúva,Rua João Azuaga,266.0,2,1,2.0,3900,,316.0
Casa,Vila do Polonês,Rua Izalda Ourique de Oliveira,112.0,2,3,2.0,3900,,238.0
Casa,Vila Morumbi,Rua Assunção,84.0,2,2,2.0,3900,278.0,178.0
Apartamento,Jardim dos Estados,,47.0,1,1,1.0,4000,600.0,328.0
Casa,Monte Castelo,Rua Treze de Junho,214.0,3,2,,4000,,344.0
Casa,Vila Carvalho,Rua Marco Pólo,170.0,3,5,2.0,4000,457.0,310.0
Apartamento,Jardim dos Estados,Avenida Afonso Pena,36.0,1,1,1.0,4000,750.0,
Apartamento,Jardim dos Estados,Travessa Ana Vani,60.0,1,1,1.0,4000,600.0,343.0
Casa,Centro,Rua Joaquim Murtinho,181.0,4,3,2.0,4000,,509.0
Casa,Vila Rosa Pires,Rua Joaquim Avelino de Rezende,258.0,4,3,2.0,4200,,550.0
Apartamento,Jardim dos Estados,Travessa Ana Vani,46.0,1,1,1.0,4200,,
Apartamento,Centro,Avenida Afonso Pena,317.0,3,3,2.0,4200,1772.0,679.0
Apartamento,Jardim dos Estados,Travessa Ana Vani,46.0,1,1,2.0,4300,,
Apartamento,Jardim dos Estados,Travessa Ana Vani,68.0,1,1,1.0,4300,857.0,494.0
Apartamento,Jardim dos Estados,Avenida Afonso Pena,49.0,1,1,1.0,4500,,
Apartamento,Itanhangá Park,Rua Nova Era,87.0,3,2,2.0,4500,742.0,
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,70.0,2,1,,4500,300.0,95.0
Apartamento,Jardim dos Estados,Avenida Afonso Pena,70.0,2,2,2.0,4700,1000.0,400.0
Casa,Carandá Bosque,,300.0,5,4,4.0,5000,,
Casa,Centro,Rua Castro Alves,148.0,4,4,3.0,5000,,292.0
Casa,Carandá Bosque,Rua Vitório Zeolla,200.0,2,2,4.0,5000,,
Apartamento,Jardim Autonomista,Rua Hermelita de Oliveira Gomes,59.0,1,1,1.0,5000,1175.0,447.0
Apartamento,Monte Castelo,Rua Doutor Arthur Jorge,95.0,3,3,1.0,5100,903.0,481.0
Casa,Vila Vilas Boas,,210.0,3,2,,5175,650.0,269.0
Apartamento,Monte Castelo,Rua Doutor Arthur Jorge,100.0,3,3,1.0,5400,959.0,499.0
Casa,Cidade Jardim,Rua Taioba,171.0,3,4,2.0,5500,850.0,353.0
Apartamento,Royal Park,Rua Tabelião Murilo Rolim,117.0,2,4,2.0,5500,655.0,596.0
Apartamento,Vivendas do Parque,Rua Gonçalo Alves,110.0,2,2,2.0,5500,1146.0,620.0
Apartamento,Monte Castelo,Rua Doutor Arthur Jorge,94.0,3,2,2.0,5500,893.0,333.0
Apartamento,Royal Park,Rua Tabelião Murilo Rolim,116.0,3,2,2.0,5500,700.0,500.0
Apartamento,Royal Park,Rua Tabelião Murilo Rolim,142.0,3,3,1.0,5500,776.0,735.0
Casa,Coronel Antonino,Rua Alegrete,350.0,4,3,6.0,5500,,
Apartamento,Monte Castelo,Avenida Rachid Neder,146.0,4,5,3.0,5500,880.0,590.0
Apartamento,Amambaí,Avenida Afonso Pena,298.0,5,5,2.0,5581,1965.0,615.0
Casa,Vila Miguel Couto,Rua Nossa Senhora das Merces,166.0,3,4,2.0,5600,1150.0,466.0
Apartamento,Jardim dos Estados,Avenida Afonso Pena,70.0,2,2,2.0,5700,,
Apartamento,Jardim dos Estados,Travessa Ana Vani,67.0,1,1,1.0,5800,,
Apartamento,Carandá Bosque,Rua Acalifas,166.0,3,5,2.0,5900,1212.0,661.0
Apartamento,Vivendas do Parque,Rua Tabelião Murilo Rolim,142.0,3,5,3.0,6000,987.0,762.0
Casa,Vila Rosa Pires,Rua Onze de Setembro,417.0,4,3,5.0,6000,,700.0
Apartamento,Royal Park,Rua Tabelião Murilo Rolim,100.0,3,2,1.0,6500,,
Casa,Terras Alpha Campo Grande,Rua Murta,200.0,3,1,,6500,,
Casa,Vila Antônio Vendas,Rua Professor Xandinho,360.0,6,6,2.0,6500,,1056.0
Casa,Jardim dos Estados,Rua Manoel Secco Tomé,176.0,3,3,3.0,7200,,420.0
Casa,Centro,Rua da Paz,297.0,4,4,2.0,7400,,
Casa,Vivendas do Parque,Rua Lídice,351.0,3,4,3.0,7500,,512.0
Casa,Vila Planalto,Rua Doutor Sílvio de Andrade,222.0,3,5,4.0,7500,,
Casa,Jardim dos Estados,,350.0,4,4,2.0,7500,,500.0
Casa,Jardim dos Estados,Rua José de Alencar,249.0,3,2,,7500,,
Casa,Vila Nascente,Rua Miguel Leteriello,220.0,3,5,2.0,7600,,
Casa,São Francisco,,450.0,1,5,4.0,8000,,833.0
Apartamento,Centro,Rua Dom Aquino,151.0,3,5,2.0,8000,740.0,800.0
Casa,Jardim Monte Líbano,Rua Robert Spengler,498.0,4,3,3.0,8000,,929.0
Apartamento,Itanhangá Park,Rua Nova Era,131.0,3,7,3.0,8000,,
Apartamento,Jardim dos Estados,Rua Euclides da Cunha,356.0,5,5,4.0,9000,3693.0,1693.0
Apartamento,Centro,Rua Dom Aquino,151.0,3,5,2.0,9000,814.0,772.0
Casa,Jardim TV Morena,Rua Spipe Calarge,300.0,4,3,,10000,,
Apartamento,Itanhangá Park,Rua Bahia,400.0,4,6,4.0,10000,3950.0,1970.0
Casa,Alphaville Campo Grande,Rua Cambacica,357.0,4,4,,12000,,
Apartamento,Carandá Bosque,,241.0,4,5,3.0,12000,1900.0,1531.0
Casa,Chácara Cachoeira,Avenida Ministro João Arinos,210.0,3,4,2.0,12000,,
Casa,Residencial Damha II,Rua Ararauba,236.0,4,4,2.0,12000,630.0,527.0
Casa,Chácara Cachoeira,,411.0,4,6,4.0,12000,,1226.0
Casa,Jardim Monte Líbano,Rua João Pedro de Souza,635.0,6,5,4.0,12500,,
Apartamento,Carandá Bosque,Rua Antônio Maria Coelho,248.0,3,5,3.0,13000,1900.0,1550.0
Casa,Terras Alpha Campo Grande,Rua Baliana,180.0,3,1,,13000,,600.0
Casa,Jardim dos Estados,,500.0,6,6,7.0,13000,,1000.0
Casa,Alphaville Campo Grande,Rua Singonio,333.0,4,5,5.0,15000,,
Casa,Alphaville Campo Grande,Rua Cordilini,378.0,4,6,6.0,15000,650.0,833.0
Casa,Alphaville Campo Grande,Rua Cafezinho,289.0,4,5,,16000,960.0,840.0
Casa,Alphaville Campo Grande,Avenida Abadia de Oliveira Lima,289.0,4,5,,16000,960.0,840.0
Casa,Residencial Damha ,Rua Ipomeia,305.0,5,5,4.0,16000,905.0,927.0
Casa,Residencial Damha ,Avenida Marquês de Pombal,85.0,6,7,2.0,17500,1092.0,657.0
Casa,Centro,Rua Abrão Júlio Rahe,700.0,6,7,3.0,21000,,1100.0
Casa,Residencial Damha ,Alameda Recanto das Araras,406.0,3,4,,26000,,
Casa,Residencial Damha ,Rua Miguel Damha,360.0,3,6,,30000,1100.0,
