tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu
Apartamento,Jardim Tijuca,Rua Serra Azul,51.0,2,1,1.0,1250,298.0,81.0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,,1,1,,1250,,
Apartamento,Monte Castelo,Rua Quatorze de Julho,60.0,2,1,,1280,,
Apartamento,Jardim Nossa Senhora do Perpétuo Socorro,Rua Filomena Segundo Nascimento,89.0,2,1,1.0,1300,,
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,45.0,2,1,1.0,1300,,
Casa,Vila Nossa Senhora das Graças,Rua João Ramalho,45.0,2,1,1.0,1300,,
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,50.0,2,1,1.0,1300,,
Casa,Jardim São Conrado,Rua Ponta da Praia,60.0,2,1,2.0,1300,,
Casa,Coophavila II,Rua Pastor Virgílio Faria,85.0,1,1,2.0,1300,,
Casa,Tiradentes,Rua Romeu Alves Camargo,65.0,2,1,1.0,1300,,
Casa,Vila Marcos Roberto,Rua do Himalaia,65.0,2,1,2.0,1300,200.0,98.0
Casa,Monte Castelo,Rua São Paulo,60.0,2,1,1.0,1300,,155.0
Casa,Jardim das Nações,Rua Seisuke Zaha,80.0,3,1,2.0,1300,,82.0
Apartamento,Vila Glória,Rua Jornalista Belizário Lima,84.0,2,2,1.0,1300,215.0,154.0
Casa,Vivendas do Parque,Rua Mombassa,45.0,2,1,1.0,1300,,
Casa,Jardim Imá,Rua São Luiz,60.0,2,1,1.0,1300,,
Apartamento,Residencial Ana Maria do Couto,Rua Marina Luiza Spengler,80.0,3,1,1.0,1300,,
Casa,Conjunto Parati II,,100.0,2,1,3.0,1300,,
Casa,Vila Moreninha II,Rua Anani,80.0,4,2,2.0,1300,,92.0
Apartamento,Jardim Paradiso,Rua Antônio Rufino de Souza,60.0,2,1,1.0,1320,250.0,105.0
Casa,Monte Castelo,Rua Anita Garibaldi,50.0,2,1,1.0,1350,,
Casa,Jardim Bonança,Rua Litorânea,,2,1,1.0,1350,,
Apartamento,Monte Castelo,Rua Pio Rojas,70.0,2,1,1.0,1350,475.0,175.0
Apartamento,Vila Vilas Boas,Avenida Três Barras,60.0,2,1,1.0,1350,,
Apartamento,Vila Marcos Roberto,Rua Ouro Verde,42.0,1,1,1.0,1350,,
Casa,Jardim Anache,Rua do Sobrado,126.0,2,1,1.0,1350,,
Apartamento,Jardim Leblon,Avenida Manoel Joaquim de Moraes,45.0,2,1,1.0,1400,,
Casa,Centro,Rua Brasil,36.0,2,1,,1400,,
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,48.0,2,1,,1400,,
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,46.0,2,2,1.0,1400,405.0,121.0
Apartamento,Residencial Novo Seminário,Rua Ciro Macuco,,2,1,1.0,1400,,
Casa,Jardim América,Rua Paulo Freire,50.0,2,1,1.0,1400,,85.0
Casa,Monte Castelo,Avenida Monte Castelo,60.0,2,1,1.0,1400,,123.0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,,2,2,1.0,1400,280.0,108.0
Apartamento,Jardim Itatiaia,Rua Ayd Saravy de Souza,62.0,2,1,1.0,1400,,73.0
Apartamento,Parque do Lageado,Rua Evelina Figueiredo Selingardi,42.0,2,2,1.0,1400,,
Casa,Parque dos Novos Estados,Rua Capiatã,76.0,2,1,1.0,1400,,
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,,2,2,1.0,1400,280.0,108.0
Casa,Residencial Gama,Rua Jorge Budib,73.0,2,2,1.0,1400,,
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,58.0,2,2,1.0,1450,,
Casa,Jardim Parati,Rua da Divisão,45.0,3,1,,1450,,
Apartamento,Santa Fé,Avenida Mato Grosso,38.0,1,1,,1450,,
Casa,Jardim Nossa Senhora do Perpétuo Socorro,,73.0,2,1,3.0,1462,,72.0
Casa,Vila Piratininga,Rua Pasteur,52.0,2,2,2.0,1500,,
Casa,Jardim Bonança,Rua Jardim Silveira,95.0,3,3,3.0,1500,,
Apartamento,Vila Nova Campo Grande,Rua 32,67.0,2,1,1.0,1500,,918.0
Apartamento,Mata do Jacinto,Rua Paulo Tognini,74.0,2,2,1.0,1500,438.0,162.0
Apartamento,União,Rua Petrópolis,40.0,2,1,1.0,1500,,
Apartamento,Centro,Rua Marechal Rondon,155.0,2,1,2.0,1500,1296.0,501.0
Casa,Residencial Sírio Libanês I,Rua Fuad Geleláite,111.0,2,1,2.0,1500,,
Apartamento,Parque Residencial Rita Vieira,Avenida Rita Vieira de Andrade,80.0,2,1,1.0,1500,470.0,130.0
Casa,Los Angeles,Rua Engenheiro Paulo Frontin,51.0,2,1,1.0,1500,,
Apartamento,Aero Rancho,,69.0,2,1,1.0,1500,,
Apartamento,Monte Castelo,Rua Amazonas,37.0,1,1,1.0,1500,,
Casa,Jardim Colibrí,Rua Mainá,55.0,2,1,2.0,1500,,53.0
Apartamento,Residencial Novo Seminário,Rua Ciro Macuco,50.0,2,1,1.0,1500,202.0,90.0
Casa,Parque dos Novos Estados,Rua Marquês de Leão,54.0,2,1,3.0,1500,,
Casa,Jardim Bela Vista,Rua Catumbi,112.0,2,1,4.0,1500,,299.0
Apartamento,Lar do Trabalhador,Avenida dos Crisantemos,68.0,3,1,1.0,1500,,
